province,adcode,model,regYear,regMonth,popularity
河南,410000,17bc272c93f19d56,2016,1,19036
河南,410000,17bc272c93f19d56,2016,2,17856
河南,410000,17bc272c93f19d56,2016,3,12517
河南,410000,17bc272c93f19d56,2016,4,9700
河南,410000,17bc272c93f19d56,2016,5,12780
河南,410000,17bc272c93f19d56,2016,6,11803
河南,410000,17bc272c93f19d56,2016,7,11238
河南,410000,17bc272c93f19d56,2016,8,12713
河南,410000,17bc272c93f19d56,2016,9,13899
河南,410000,17bc272c93f19d56,2016,10,17326
河南,410000,17bc272c93f19d56,2016,11,16127
河南,410000,17bc272c93f19d56,2016,12,18815
河南,410000,17bc272c93f19d56,2017,1,17483
河南,410000,17bc272c93f19d56,2017,2,18899
河南,410000,17bc272c93f19d56,2017,3,14067
河南,410000,17bc272c93f19d56,2017,4,9014
河南,410000,17bc272c93f19d56,2017,5,9443
河南,410000,17bc272c93f19d56,2017,6,10435
河南,410000,17bc272c93f19d56,2017,7,8900
河南,410000,17bc272c93f19d56,2017,8,8464
河南,410000,17bc272c93f19d56,2017,9,8491
河南,410000,17bc272c93f19d56,2017,10,8958
河南,410000,17bc272c93f19d56,2017,11,9332
河南,410000,17bc272c93f19d56,2017,12,11747
河南,410000,63065128401bb3ff,2016,1,3791
河南,410000,63065128401bb3ff,2016,2,3987
河南,410000,63065128401bb3ff,2016,3,3103
河南,410000,63065128401bb3ff,2016,4,3123
河南,410000,63065128401bb3ff,2016,5,4127
河南,410000,63065128401bb3ff,2016,6,4139
河南,410000,63065128401bb3ff,2016,7,4545
河南,410000,63065128401bb3ff,2016,8,5080
河南,410000,63065128401bb3ff,2016,9,5846
河南,410000,63065128401bb3ff,2016,10,6598
河南,410000,63065128401bb3ff,2016,11,6083
河南,410000,63065128401bb3ff,2016,12,6672
河南,410000,63065128401bb3ff,2017,1,6333
河南,410000,63065128401bb3ff,2017,2,6792
河南,410000,63065128401bb3ff,2017,3,5862
河南,410000,63065128401bb3ff,2017,4,4846
河南,410000,63065128401bb3ff,2017,5,5463
河南,410000,63065128401bb3ff,2017,6,5674
河南,410000,63065128401bb3ff,2017,7,5340
河南,410000,63065128401bb3ff,2017,8,5036
河南,410000,63065128401bb3ff,2017,9,5230
河南,410000,63065128401bb3ff,2017,10,6573
河南,410000,63065128401bb3ff,2017,11,13888
河南,410000,63065128401bb3ff,2017,12,19776
河南,410000,6155b214590c66e6,2016,1,13080
河南,410000,6155b214590c66e6,2016,2,15873
河南,410000,6155b214590c66e6,2016,3,12101
河南,410000,6155b214590c66e6,2016,4,11050
河南,410000,6155b214590c66e6,2016,5,10777
河南,410000,6155b214590c66e6,2016,6,10257
河南,410000,6155b214590c66e6,2016,7,11847
河南,410000,6155b214590c66e6,2016,8,12010
河南,410000,6155b214590c66e6,2016,9,12968
河南,410000,6155b214590c66e6,2016,10,13582
河南,410000,6155b214590c66e6,2016,11,11790
河南,410000,6155b214590c66e6,2016,12,12753
河南,410000,6155b214590c66e6,2017,1,12489
河南,410000,6155b214590c66e6,2017,2,12404
河南,410000,6155b214590c66e6,2017,3,10270
河南,410000,6155b214590c66e6,2017,4,9386
河南,410000,6155b214590c66e6,2017,5,11613
河南,410000,6155b214590c66e6,2017,6,11113
河南,410000,6155b214590c66e6,2017,7,10412
河南,410000,6155b214590c66e6,2017,8,11029
河南,410000,6155b214590c66e6,2017,9,11189
河南,410000,6155b214590c66e6,2017,10,11077
河南,410000,6155b214590c66e6,2017,11,14416
河南,410000,6155b214590c66e6,2017,12,17894
河南,410000,0797526c057dcf5b,2016,1,1677
河南,410000,0797526c057dcf5b,2016,2,1892
河南,410000,0797526c057dcf5b,2016,3,1634
河南,410000,0797526c057dcf5b,2016,4,1468
河南,410000,0797526c057dcf5b,2016,5,1424
河南,410000,0797526c057dcf5b,2016,6,1318
河南,410000,0797526c057dcf5b,2016,7,1344
河南,410000,0797526c057dcf5b,2016,8,1422
河南,410000,0797526c057dcf5b,2016,9,1652
河南,410000,0797526c057dcf5b,2016,10,1924
河南,410000,0797526c057dcf5b,2016,11,1935
河南,410000,0797526c057dcf5b,2016,12,2451
河南,410000,0797526c057dcf5b,2017,1,2245
河南,410000,0797526c057dcf5b,2017,2,2475
河南,410000,0797526c057dcf5b,2017,3,1893
河南,410000,0797526c057dcf5b,2017,4,1663
河南,410000,0797526c057dcf5b,2017,5,2049
河南,410000,0797526c057dcf5b,2017,6,2140
河南,410000,0797526c057dcf5b,2017,7,2005
河南,410000,0797526c057dcf5b,2017,8,2191
河南,410000,0797526c057dcf5b,2017,9,2339
河南,410000,0797526c057dcf5b,2017,10,2606
河南,410000,0797526c057dcf5b,2017,11,2533
河南,410000,0797526c057dcf5b,2017,12,2802
河南,410000,2a2ab41f8f6ff1cb,2016,1,5788
河南,410000,2a2ab41f8f6ff1cb,2016,2,6361
河南,410000,2a2ab41f8f6ff1cb,2016,3,4948
河南,410000,2a2ab41f8f6ff1cb,2016,4,7206
河南,410000,2a2ab41f8f6ff1cb,2016,5,6127
河南,410000,2a2ab41f8f6ff1cb,2016,6,6656
河南,410000,2a2ab41f8f6ff1cb,2016,7,6558
河南,410000,2a2ab41f8f6ff1cb,2016,8,7677
河南,410000,2a2ab41f8f6ff1cb,2016,9,10288
河南,410000,2a2ab41f8f6ff1cb,2016,10,12117
河南,410000,2a2ab41f8f6ff1cb,2016,11,11229
河南,410000,2a2ab41f8f6ff1cb,2016,12,11086
河南,410000,2a2ab41f8f6ff1cb,2017,1,11240
河南,410000,2a2ab41f8f6ff1cb,2017,2,11909
河南,410000,2a2ab41f8f6ff1cb,2017,3,12056
河南,410000,2a2ab41f8f6ff1cb,2017,4,12270
河南,410000,2a2ab41f8f6ff1cb,2017,5,12408
河南,410000,2a2ab41f8f6ff1cb,2017,6,11176
河南,410000,2a2ab41f8f6ff1cb,2017,7,7584
河南,410000,2a2ab41f8f6ff1cb,2017,8,7508
河南,410000,2a2ab41f8f6ff1cb,2017,9,5684
河南,410000,2a2ab41f8f6ff1cb,2017,10,6615
河南,410000,2a2ab41f8f6ff1cb,2017,11,8635
河南,410000,2a2ab41f8f6ff1cb,2017,12,14454
河南,410000,c6cd4e0e073f5ac2,2016,1,3207
河南,410000,c6cd4e0e073f5ac2,2016,2,3366
河南,410000,c6cd4e0e073f5ac2,2016,3,2330
河南,410000,c6cd4e0e073f5ac2,2016,4,1666
河南,410000,c6cd4e0e073f5ac2,2016,5,1726
河南,410000,c6cd4e0e073f5ac2,2016,6,1560
河南,410000,c6cd4e0e073f5ac2,2016,7,1564
河南,410000,c6cd4e0e073f5ac2,2016,8,1642
河南,410000,c6cd4e0e073f5ac2,2016,9,1677
河南,410000,c6cd4e0e073f5ac2,2016,10,1819
河南,410000,c6cd4e0e073f5ac2,2016,11,1675
河南,410000,c6cd4e0e073f5ac2,2016,12,1677
河南,410000,c6cd4e0e073f5ac2,2017,1,1482
河南,410000,c6cd4e0e073f5ac2,2017,2,1509
河南,410000,c6cd4e0e073f5ac2,2017,3,1315
河南,410000,c6cd4e0e073f5ac2,2017,4,998
河南,410000,c6cd4e0e073f5ac2,2017,5,1104
河南,410000,c6cd4e0e073f5ac2,2017,6,1085
河南,410000,c6cd4e0e073f5ac2,2017,7,896
河南,410000,c6cd4e0e073f5ac2,2017,8,999
河南,410000,c6cd4e0e073f5ac2,2017,9,1003
河南,410000,c6cd4e0e073f5ac2,2017,10,988
河南,410000,c6cd4e0e073f5ac2,2017,11,884
河南,410000,c6cd4e0e073f5ac2,2017,12,984
河南,410000,3d7554f1f56dd664,2016,1,3728
河南,410000,3d7554f1f56dd664,2016,2,4067
河南,410000,3d7554f1f56dd664,2016,3,3147
河南,410000,3d7554f1f56dd664,2016,4,2877
河南,410000,3d7554f1f56dd664,2016,5,3097
河南,410000,3d7554f1f56dd664,2016,6,2924
河南,410000,3d7554f1f56dd664,2016,7,2976
河南,410000,3d7554f1f56dd664,2016,8,2990
河南,410000,3d7554f1f56dd664,2016,9,3792
河南,410000,3d7554f1f56dd664,2016,10,4124
河南,410000,3d7554f1f56dd664,2016,11,3711
河南,410000,3d7554f1f56dd664,2016,12,4417
河南,410000,3d7554f1f56dd664,2017,1,4332
河南,410000,3d7554f1f56dd664,2017,2,5039
河南,410000,3d7554f1f56dd664,2017,3,3859
河南,410000,3d7554f1f56dd664,2017,4,3426
河南,410000,3d7554f1f56dd664,2017,5,3821
河南,410000,3d7554f1f56dd664,2017,6,4039
河南,410000,3d7554f1f56dd664,2017,7,3890
河南,410000,3d7554f1f56dd664,2017,8,4093
河南,410000,3d7554f1f56dd664,2017,9,4243
河南,410000,3d7554f1f56dd664,2017,10,4781
河南,410000,3d7554f1f56dd664,2017,11,5405
河南,410000,3d7554f1f56dd664,2017,12,5892
河南,410000,28e29f2c03dcd84c,2016,1,1464
河南,410000,28e29f2c03dcd84c,2016,2,1720
河南,410000,28e29f2c03dcd84c,2016,3,1187
河南,410000,28e29f2c03dcd84c,2016,4,1188
河南,410000,28e29f2c03dcd84c,2016,5,1470
河南,410000,28e29f2c03dcd84c,2016,6,1170
河南,410000,28e29f2c03dcd84c,2016,7,998
河南,410000,28e29f2c03dcd84c,2016,8,1021
河南,410000,28e29f2c03dcd84c,2016,9,1101
河南,410000,28e29f2c03dcd84c,2016,10,1201
河南,410000,28e29f2c03dcd84c,2016,11,1103
河南,410000,28e29f2c03dcd84c,2016,12,1191
河南,410000,28e29f2c03dcd84c,2017,1,1342
河南,410000,28e29f2c03dcd84c,2017,2,1467
河南,410000,28e29f2c03dcd84c,2017,3,1373
河南,410000,28e29f2c03dcd84c,2017,4,1232
